,rohini,utc_time
0,19.0,2019-07-17 00:00:00
1,27.0,2019-07-17 01:00:00
2,13.0,2019-07-17 02:00:00
3,9.0,2019-07-17 03:00:00
4,12.0,2019-07-17 04:00:00
5,13.0,2019-07-17 05:00:00
6,23.0,2019-07-17 06:00:00
7,24.0,2019-07-17 07:00:00
8,25.0,2019-07-17 08:00:00
9,27.0,2019-07-17 09:00:00
10,20.0,2019-07-17 10:00:00
11,22.0,2019-07-17 11:00:00
12,23.0,2019-07-17 12:00:00
13,19.0,2019-07-17 13:00:00
14,19.0,2019-07-17 14:00:00
15,66.0,2019-07-17 15:00:00
16,45.0,2019-07-17 16:00:00
17,58.0,2019-07-17 17:00:00
18,47.0,2019-07-17 18:00:00
19,51.0,2019-07-17 19:00:00
20,79.0,2019-07-17 20:00:00
21,74.0,2019-07-17 21:00:00
22,18.0,2019-07-17 22:00:00
23,13.0,2019-07-17 23:00:00
24,13.0,2019-07-18 00:00:00
25,16.0,2019-07-18 01:00:00
26,8.0,2019-07-18 02:00:00
27,17.0,2019-07-18 03:00:00
28,24.0,2019-07-18 04:00:00
29,24.0,2019-07-18 05:00:00
30,7.0,2019-07-18 06:00:00
31,11.0,2019-07-18 07:00:00
32,19.0,2019-07-18 08:00:00
33,13.0,2019-07-18 09:00:00
34,27.0,2019-07-18 10:00:00
35,29.0,2019-07-18 11:00:00
36,22.0,2019-07-18 12:00:00
37,30.0,2019-07-18 13:00:00
38,30.0,2019-07-18 14:00:00
39,39.0,2019-07-18 15:00:00
40,58.0,2019-07-18 16:00:00
41,56.0,2019-07-18 17:00:00
42,56.0,2019-07-18 18:00:00
43,50.0,2019-07-18 19:00:00
44,55.0,2019-07-18 20:00:00
45,41.0,2019-07-18 21:00:00
46,42.0,2019-07-18 22:00:00
47,33.0,2019-07-18 23:00:00
48,38.0,2019-07-19 00:00:00
49,46.0,2019-07-19 01:00:00
50,62.0,2019-07-19 02:00:00
51,106.0,2019-07-19 03:00:00
52,113.0,2019-07-19 04:00:00
53,63.0,2019-07-19 05:00:00
54,53.0,2019-07-19 06:00:00
55,56.0,2019-07-19 07:00:00
56,64.0,2019-07-19 08:00:00
57,59.0,2019-07-19 09:00:00
58,64.0,2019-07-19 10:00:00
59,70.0,2019-07-19 11:00:00
60,69.0,2019-07-19 12:00:00
61,63.0,2019-07-19 13:00:00
62,72.0,2019-07-19 14:00:00
63,70.0,2019-07-19 15:00:00
64,74.0,2019-07-19 16:00:00
65,61.0,2019-07-19 17:00:00
66,50.0,2019-07-19 18:00:00
67,62.0,2019-07-19 19:00:00
68,75.0,2019-07-19 20:00:00
69,63.0,2019-07-19 21:00:00
70,55.0,2019-07-19 22:00:00
71,42.0,2019-07-19 23:00:00
72,40.0,2019-07-20 00:00:00
73,31.0,2019-07-20 01:00:00
74,44.0,2019-07-20 02:00:00
75,58.0,2019-07-20 03:00:00
76,38.0,2019-07-20 04:00:00
77,44.0,2019-07-20 05:00:00
78,44.0,2019-07-20 06:00:00
79,39.0,2019-07-20 07:00:00
80,20.0,2019-07-20 08:00:00
81,20.0,2019-07-20 09:00:00
82,34.0,2019-07-20 10:00:00
83,46.0,2019-07-20 11:00:00
84,42.0,2019-07-20 12:00:00
85,48.0,2019-07-20 13:00:00
86,29.0,2019-07-20 14:00:00
87,53.0,2019-07-20 15:00:00
88,63.0,2019-07-20 16:00:00
89,59.0,2019-07-20 17:00:00
1810,,2019-07-20 18:00:00
1811,,2019-07-20 19:00:00
1812,,2019-07-20 20:00:00
1813,,2019-07-20 21:00:00
1814,,2019-07-20 22:00:00
1815,,2019-07-20 23:00:00
90,52.0,2019-07-21 00:00:00
91,36.0,2019-07-21 01:00:00
92,40.0,2019-07-21 02:00:00
93,51.0,2019-07-21 03:00:00
94,45.0,2019-07-21 04:00:00
95,47.0,2019-07-21 05:00:00
96,44.0,2019-07-21 06:00:00
97,40.0,2019-07-21 07:00:00
98,40.0,2019-07-21 08:00:00
99,42.0,2019-07-21 09:00:00
100,42.0,2019-07-21 10:00:00
101,23.0,2019-07-21 11:00:00
102,18.0,2019-07-21 12:00:00
103,11.0,2019-07-21 13:00:00
104,29.0,2019-07-21 14:00:00
105,30.0,2019-07-21 15:00:00
106,57.0,2019-07-21 16:00:00
107,72.0,2019-07-21 17:00:00
108,74.0,2019-07-21 18:00:00
109,81.0,2019-07-21 19:00:00
110,106.0,2019-07-21 20:00:00
111,88.0,2019-07-21 21:00:00
112,75.0,2019-07-21 22:00:00
113,110.0,2019-07-21 23:00:00
114,69.0,2019-07-22 00:00:00
115,132.0,2019-07-22 01:00:00
116,132.0,2019-07-22 02:00:00
117,130.0,2019-07-22 03:00:00
118,123.0,2019-07-22 04:00:00
119,97.0,2019-07-22 05:00:00
120,56.0,2019-07-22 06:00:00
121,57.0,2019-07-22 07:00:00
122,56.0,2019-07-22 08:00:00
123,68.0,2019-07-22 09:00:00
124,64.0,2019-07-22 10:00:00
125,34.0,2019-07-22 11:00:00
126,38.0,2019-07-22 12:00:00
127,55.0,2019-07-22 13:00:00
128,50.0,2019-07-22 14:00:00
129,57.0,2019-07-22 15:00:00
130,74.0,2019-07-22 16:00:00
131,92.0,2019-07-22 17:00:00
132,84.0,2019-07-22 18:00:00
133,88.0,2019-07-22 19:00:00
134,102.0,2019-07-22 20:00:00
135,140.0,2019-07-22 21:00:00
136,81.0,2019-07-22 22:00:00
137,81.0,2019-07-22 23:00:00
138,74.0,2019-07-23 00:00:00
139,96.0,2019-07-23 01:00:00
140,92.0,2019-07-23 02:00:00
141,172.0,2019-07-23 03:00:00
142,136.0,2019-07-23 04:00:00
143,75.0,2019-07-23 05:00:00
144,67.0,2019-07-23 06:00:00
145,74.0,2019-07-23 07:00:00
146,68.0,2019-07-23 08:00:00
147,44.0,2019-07-23 09:00:00
148,39.0,2019-07-23 10:00:00
149,40.0,2019-07-23 11:00:00
150,35.0,2019-07-23 12:00:00
151,38.0,2019-07-23 13:00:00
152,40.0,2019-07-23 14:00:00
153,70.0,2019-07-23 15:00:00
154,57.0,2019-07-23 16:00:00
155,94.0,2019-07-23 17:00:00
156,88.0,2019-07-23 18:00:00
157,83.0,2019-07-23 19:00:00
158,81.0,2019-07-23 20:00:00
159,86.0,2019-07-23 21:00:00
160,102.0,2019-07-23 22:00:00
161,112.0,2019-07-23 23:00:00
162,127.0,2019-07-24 00:00:00
163,134.0,2019-07-24 01:00:00
164,31.0,2019-07-24 02:00:00
165,42.0,2019-07-24 03:00:00
166,62.0,2019-07-24 04:00:00
167,89.0,2019-07-24 05:00:00
168,99.0,2019-07-24 06:00:00
169,57.0,2019-07-24 07:00:00
170,57.0,2019-07-24 08:00:00
171,38.0,2019-07-24 09:00:00
172,35.0,2019-07-24 10:00:00
173,36.0,2019-07-24 11:00:00
174,33.0,2019-07-24 12:00:00
175,31.0,2019-07-24 13:00:00
176,17.0,2019-07-24 14:00:00
177,9.0,2019-07-24 15:00:00
178,9.0,2019-07-24 16:00:00
179,20.0,2019-07-24 17:00:00
180,12.0,2019-07-24 18:00:00
181,13.0,2019-07-24 19:00:00
182,13.0,2019-07-24 20:00:00
183,12.0,2019-07-24 21:00:00
184,9.0,2019-07-24 22:00:00
185,7.0,2019-07-24 23:00:00
186,8.0,2019-07-25 00:00:00
1816,,2019-07-25 01:00:00
187,27.0,2019-07-25 02:00:00
1817,,2019-07-25 03:00:00
188,22.0,2019-07-25 04:00:00
189,20.0,2019-07-25 05:00:00
190,20.0,2019-07-25 06:00:00
191,23.0,2019-07-25 07:00:00
192,18.0,2019-07-25 08:00:00
193,9.0,2019-07-25 09:00:00
194,6.0,2019-07-25 10:00:00
195,17.0,2019-07-25 11:00:00
196,12.0,2019-07-25 12:00:00
197,14.0,2019-07-25 13:00:00
198,20.0,2019-07-25 14:00:00
199,27.0,2019-07-25 15:00:00
200,22.0,2019-07-25 16:00:00
201,25.0,2019-07-25 17:00:00
202,40.0,2019-07-25 18:00:00
203,69.0,2019-07-25 19:00:00
204,62.0,2019-07-25 20:00:00
205,36.0,2019-07-25 21:00:00
206,41.0,2019-07-25 22:00:00
207,51.0,2019-07-25 23:00:00
208,59.0,2019-07-26 00:00:00
209,62.0,2019-07-26 01:00:00
210,42.0,2019-07-26 02:00:00
211,29.0,2019-07-26 03:00:00
212,30.0,2019-07-26 04:00:00
213,18.0,2019-07-26 05:00:00
214,36.0,2019-07-26 06:00:00
215,34.0,2019-07-26 07:00:00
216,33.0,2019-07-26 08:00:00
217,6.0,2019-07-26 09:00:00
218,8.0,2019-07-26 10:00:00
219,12.0,2019-07-26 11:00:00
220,18.0,2019-07-26 12:00:00
221,12.0,2019-07-26 13:00:00
222,13.0,2019-07-26 14:00:00
223,16.0,2019-07-26 15:00:00
224,22.0,2019-07-26 16:00:00
225,16.0,2019-07-26 17:00:00
226,11.0,2019-07-26 18:00:00
227,20.0,2019-07-26 19:00:00
228,18.0,2019-07-26 20:00:00
229,23.0,2019-07-26 21:00:00
230,23.0,2019-07-26 22:00:00
231,18.0,2019-07-26 23:00:00
232,23.0,2019-07-27 00:00:00
233,27.0,2019-07-27 01:00:00
234,42.0,2019-07-27 02:00:00
235,40.0,2019-07-27 03:00:00
236,34.0,2019-07-27 04:00:00
237,25.0,2019-07-27 05:00:00
238,23.0,2019-07-27 06:00:00
239,14.0,2019-07-27 07:00:00
240,20.0,2019-07-27 08:00:00
241,23.0,2019-07-27 09:00:00
242,34.0,2019-07-27 10:00:00
243,13.0,2019-07-27 11:00:00
244,13.0,2019-07-27 12:00:00
245,42.0,2019-07-27 13:00:00
246,62.0,2019-07-27 14:00:00
247,46.0,2019-07-27 15:00:00
248,44.0,2019-07-27 16:00:00
249,51.0,2019-07-27 17:00:00
250,51.0,2019-07-27 18:00:00
251,55.0,2019-07-27 19:00:00
252,22.0,2019-07-27 20:00:00
253,20.0,2019-07-27 21:00:00
254,18.0,2019-07-27 22:00:00
255,30.0,2019-07-27 23:00:00
256,24.0,2019-07-28 00:00:00
257,29.0,2019-07-28 01:00:00
258,29.0,2019-07-28 02:00:00
259,28.0,2019-07-28 03:00:00
260,24.0,2019-07-28 04:00:00
261,20.0,2019-07-28 05:00:00
262,30.0,2019-07-28 06:00:00
263,17.0,2019-07-28 07:00:00
264,24.0,2019-07-28 08:00:00
265,14.0,2019-07-28 09:00:00
266,16.0,2019-07-28 10:00:00
267,13.0,2019-07-28 11:00:00
268,9.0,2019-07-28 12:00:00
269,7.0,2019-07-28 13:00:00
270,17.0,2019-07-28 14:00:00
271,29.0,2019-07-28 15:00:00
272,28.0,2019-07-28 16:00:00
273,39.0,2019-07-28 17:00:00
274,89.0,2019-07-28 18:00:00
275,30.0,2019-07-28 19:00:00
276,24.0,2019-07-28 20:00:00
277,24.0,2019-07-28 21:00:00
278,18.0,2019-07-28 22:00:00
279,30.0,2019-07-28 23:00:00
280,24.0,2019-07-29 00:00:00
281,39.0,2019-07-29 01:00:00
282,28.0,2019-07-29 02:00:00
283,27.0,2019-07-29 03:00:00
284,14.0,2019-07-29 04:00:00
285,30.0,2019-07-29 05:00:00
286,22.0,2019-07-29 06:00:00
287,18.0,2019-07-29 07:00:00
288,17.0,2019-07-29 08:00:00
289,33.0,2019-07-29 09:00:00
290,14.0,2019-07-29 10:00:00
291,13.0,2019-07-29 11:00:00
292,17.0,2019-07-29 12:00:00
293,14.0,2019-07-29 13:00:00
294,19.0,2019-07-29 14:00:00
295,27.0,2019-07-29 15:00:00
296,53.0,2019-07-29 16:00:00
297,68.0,2019-07-29 17:00:00
298,80.0,2019-07-29 18:00:00
299,66.0,2019-07-29 19:00:00
300,48.0,2019-07-29 20:00:00
301,52.0,2019-07-29 21:00:00
302,72.0,2019-07-29 22:00:00
303,47.0,2019-07-29 23:00:00
304,38.0,2019-07-30 00:00:00
305,47.0,2019-07-30 01:00:00
306,44.0,2019-07-30 02:00:00
307,16.0,2019-07-30 03:00:00
308,19.0,2019-07-30 04:00:00
309,27.0,2019-07-30 05:00:00
310,29.0,2019-07-30 06:00:00
311,17.0,2019-07-30 07:00:00
312,16.0,2019-07-30 08:00:00
313,12.0,2019-07-30 09:00:00
314,16.0,2019-07-30 10:00:00
315,19.0,2019-07-30 11:00:00
316,19.0,2019-07-30 12:00:00
317,35.0,2019-07-30 13:00:00
318,28.0,2019-07-30 14:00:00
319,27.0,2019-07-30 15:00:00
320,27.0,2019-07-30 16:00:00
321,41.0,2019-07-30 17:00:00
322,24.0,2019-07-30 18:00:00
323,39.0,2019-07-30 19:00:00
324,56.0,2019-07-30 20:00:00
325,57.0,2019-07-30 21:00:00
326,30.0,2019-07-30 22:00:00
327,34.0,2019-07-30 23:00:00
328,25.0,2019-07-31 00:00:00
329,30.0,2019-07-31 01:00:00
330,34.0,2019-07-31 02:00:00
331,39.0,2019-07-31 03:00:00
332,47.0,2019-07-31 04:00:00
333,47.0,2019-07-31 05:00:00
334,33.0,2019-07-31 06:00:00
335,29.0,2019-07-31 07:00:00
336,30.0,2019-07-31 08:00:00
337,31.0,2019-07-31 09:00:00
338,31.0,2019-07-31 10:00:00
339,25.0,2019-07-31 11:00:00
340,31.0,2019-07-31 12:00:00
341,28.0,2019-07-31 13:00:00
342,27.0,2019-07-31 14:00:00
343,27.0,2019-07-31 15:00:00
344,30.0,2019-07-31 16:00:00
345,61.0,2019-07-31 17:00:00
1818,,2019-07-31 18:00:00
1819,,2019-07-31 19:00:00
346,96.0,2019-07-31 20:00:00
347,53.0,2019-07-31 21:00:00
348,27.0,2019-07-31 22:00:00
349,31.0,2019-07-31 23:00:00
350,33.0,2019-08-01 00:00:00
351,30.0,2019-08-01 01:00:00
352,44.0,2019-08-01 02:00:00
353,36.0,2019-08-01 03:00:00
354,22.0,2019-08-01 04:00:00
355,31.0,2019-08-01 05:00:00
356,33.0,2019-08-01 06:00:00
357,36.0,2019-08-01 07:00:00
358,25.0,2019-08-01 08:00:00
359,30.0,2019-08-01 09:00:00
360,30.0,2019-08-01 10:00:00
361,34.0,2019-08-01 11:00:00
1820,,2019-08-01 12:00:00
362,23.0,2019-08-01 13:00:00
363,46.0,2019-08-01 14:00:00
364,58.0,2019-08-01 15:00:00
365,24.0,2019-08-01 16:00:00
366,29.0,2019-08-01 17:00:00
367,20.0,2019-08-01 18:00:00
368,18.0,2019-08-01 19:00:00
369,31.0,2019-08-01 20:00:00
370,23.0,2019-08-01 21:00:00
371,29.0,2019-08-01 22:00:00
372,27.0,2019-08-01 23:00:00
373,29.0,2019-08-02 00:00:00
374,30.0,2019-08-02 01:00:00
375,35.0,2019-08-02 02:00:00
376,42.0,2019-08-02 03:00:00
377,38.0,2019-08-02 04:00:00
378,25.0,2019-08-02 05:00:00
379,50.0,2019-08-02 06:00:00
380,53.0,2019-08-02 07:00:00
381,12.0,2019-08-02 08:00:00
382,17.0,2019-08-02 09:00:00
383,17.0,2019-08-02 10:00:00
384,18.0,2019-08-02 11:00:00
385,18.0,2019-08-02 12:00:00
386,23.0,2019-08-02 13:00:00
387,25.0,2019-08-02 14:00:00
388,45.0,2019-08-02 15:00:00
389,42.0,2019-08-02 16:00:00
390,44.0,2019-08-02 17:00:00
391,45.0,2019-08-02 18:00:00
392,34.0,2019-08-02 19:00:00
393,68.0,2019-08-02 20:00:00
394,58.0,2019-08-02 21:00:00
395,50.0,2019-08-02 22:00:00
396,97.0,2019-08-02 23:00:00
397,58.0,2019-08-03 00:00:00
398,84.0,2019-08-03 01:00:00
399,66.0,2019-08-03 02:00:00
400,68.0,2019-08-03 03:00:00
401,56.0,2019-08-03 04:00:00
402,19.0,2019-08-03 05:00:00
403,31.0,2019-08-03 06:00:00
404,46.0,2019-08-03 07:00:00
405,28.0,2019-08-03 08:00:00
406,36.0,2019-08-03 09:00:00
407,19.0,2019-08-03 10:00:00
408,16.0,2019-08-03 11:00:00
409,40.0,2019-08-03 12:00:00
410,40.0,2019-08-03 13:00:00
411,34.0,2019-08-03 14:00:00
412,48.0,2019-08-03 15:00:00
413,48.0,2019-08-03 16:00:00
414,59.0,2019-08-03 17:00:00
415,47.0,2019-08-03 18:00:00
416,107.0,2019-08-03 19:00:00
417,81.0,2019-08-03 20:00:00
418,61.0,2019-08-03 21:00:00
419,48.0,2019-08-03 22:00:00
420,42.0,2019-08-03 23:00:00
421,45.0,2019-08-04 00:00:00
422,55.0,2019-08-04 01:00:00
423,75.0,2019-08-04 02:00:00
424,48.0,2019-08-04 03:00:00
425,52.0,2019-08-04 04:00:00
426,57.0,2019-08-04 05:00:00
427,48.0,2019-08-04 06:00:00
428,47.0,2019-08-04 07:00:00
429,56.0,2019-08-04 08:00:00
430,47.0,2019-08-04 09:00:00
431,56.0,2019-08-04 10:00:00
432,40.0,2019-08-04 11:00:00
433,41.0,2019-08-04 12:00:00
434,50.0,2019-08-04 13:00:00
435,48.0,2019-08-04 14:00:00
436,119.0,2019-08-04 15:00:00
437,75.0,2019-08-04 16:00:00
438,92.0,2019-08-04 17:00:00
439,105.0,2019-08-04 18:00:00
440,72.0,2019-08-04 19:00:00
441,51.0,2019-08-04 20:00:00
442,41.0,2019-08-04 21:00:00
443,51.0,2019-08-04 22:00:00
444,64.0,2019-08-04 23:00:00
445,64.0,2019-08-05 00:00:00
446,56.0,2019-08-05 01:00:00
447,80.0,2019-08-05 02:00:00
448,77.0,2019-08-05 03:00:00
449,72.0,2019-08-05 04:00:00
450,68.0,2019-08-05 05:00:00
451,70.0,2019-08-05 06:00:00
452,67.0,2019-08-05 07:00:00
453,66.0,2019-08-05 08:00:00
454,50.0,2019-08-05 09:00:00
455,40.0,2019-08-05 10:00:00
456,56.0,2019-08-05 11:00:00
457,62.0,2019-08-05 12:00:00
458,56.0,2019-08-05 13:00:00
459,56.0,2019-08-05 14:00:00
460,55.0,2019-08-05 15:00:00
461,59.0,2019-08-05 16:00:00
462,53.0,2019-08-05 17:00:00
463,39.0,2019-08-05 18:00:00
464,42.0,2019-08-05 19:00:00
465,42.0,2019-08-05 20:00:00
466,39.0,2019-08-05 21:00:00
467,48.0,2019-08-05 22:00:00
468,53.0,2019-08-05 23:00:00
469,57.0,2019-08-06 00:00:00
470,57.0,2019-08-06 01:00:00
471,69.0,2019-08-06 02:00:00
472,27.0,2019-08-06 03:00:00
473,25.0,2019-08-06 04:00:00
474,25.0,2019-08-06 05:00:00
475,17.0,2019-08-06 06:00:00
476,11.0,2019-08-06 07:00:00
477,22.0,2019-08-06 08:00:00
478,25.0,2019-08-06 09:00:00
479,29.0,2019-08-06 10:00:00
480,36.0,2019-08-06 11:00:00
481,18.0,2019-08-06 12:00:00
482,19.0,2019-08-06 13:00:00
483,39.0,2019-08-06 14:00:00
484,45.0,2019-08-06 15:00:00
485,34.0,2019-08-06 16:00:00
486,36.0,2019-08-06 17:00:00
487,30.0,2019-08-06 18:00:00
488,52.0,2019-08-06 19:00:00
489,30.0,2019-08-06 20:00:00
490,42.0,2019-08-06 21:00:00
491,33.0,2019-08-06 22:00:00
492,38.0,2019-08-06 23:00:00
493,41.0,2019-08-07 00:00:00
494,30.0,2019-08-07 01:00:00
495,44.0,2019-08-07 02:00:00
496,67.0,2019-08-07 03:00:00
497,70.0,2019-08-07 04:00:00
498,41.0,2019-08-07 05:00:00
499,45.0,2019-08-07 06:00:00
500,51.0,2019-08-07 07:00:00
501,31.0,2019-08-07 08:00:00
502,14.0,2019-08-07 09:00:00
503,9.0,2019-08-07 10:00:00
504,9.0,2019-08-07 11:00:00
505,12.0,2019-08-07 12:00:00
506,7.0,2019-08-07 13:00:00
507,13.0,2019-08-07 14:00:00
508,42.0,2019-08-07 15:00:00
509,28.0,2019-08-07 16:00:00
510,30.0,2019-08-07 17:00:00
511,44.0,2019-08-07 18:00:00
512,31.0,2019-08-07 19:00:00
513,36.0,2019-08-07 20:00:00
514,38.0,2019-08-07 21:00:00
515,38.0,2019-08-07 22:00:00
516,39.0,2019-08-07 23:00:00
517,62.0,2019-08-08 00:00:00
518,51.0,2019-08-08 01:00:00
519,66.0,2019-08-08 02:00:00
520,103.0,2019-08-08 03:00:00
521,72.0,2019-08-08 04:00:00
522,24.0,2019-08-08 05:00:00
523,33.0,2019-08-08 06:00:00
524,30.0,2019-08-08 07:00:00
525,14.0,2019-08-08 08:00:00
526,18.0,2019-08-08 09:00:00
527,13.0,2019-08-08 10:00:00
528,14.0,2019-08-08 11:00:00
529,18.0,2019-08-08 12:00:00
530,20.0,2019-08-08 13:00:00
531,17.0,2019-08-08 14:00:00
532,44.0,2019-08-08 15:00:00
533,89.0,2019-08-08 16:00:00
534,63.0,2019-08-08 17:00:00
535,72.0,2019-08-08 18:00:00
536,52.0,2019-08-08 19:00:00
537,19.0,2019-08-08 20:00:00
538,3.0,2019-08-08 21:00:00
539,6.0,2019-08-08 22:00:00
540,7.0,2019-08-08 23:00:00
541,6.0,2019-08-09 00:00:00
542,6.0,2019-08-09 01:00:00
543,11.0,2019-08-09 02:00:00
544,17.0,2019-08-09 03:00:00
545,3.0,2019-08-09 04:00:00
546,5.0,2019-08-09 05:00:00
547,6.0,2019-08-09 06:00:00
548,12.0,2019-08-09 07:00:00
549,7.0,2019-08-09 08:00:00
550,8.0,2019-08-09 09:00:00
551,6.0,2019-08-09 10:00:00
552,9.0,2019-08-09 11:00:00
553,7.0,2019-08-09 12:00:00
554,13.0,2019-08-09 13:00:00
555,12.0,2019-08-09 14:00:00
556,22.0,2019-08-09 15:00:00
557,18.0,2019-08-09 16:00:00
558,13.0,2019-08-09 17:00:00
559,11.0,2019-08-09 18:00:00
560,19.0,2019-08-09 19:00:00
561,11.0,2019-08-09 20:00:00
562,27.0,2019-08-09 21:00:00
563,25.0,2019-08-09 22:00:00
564,22.0,2019-08-09 23:00:00
565,23.0,2019-08-10 00:00:00
566,27.0,2019-08-10 01:00:00
567,19.0,2019-08-10 02:00:00
568,18.0,2019-08-10 03:00:00
569,16.0,2019-08-10 04:00:00
570,18.0,2019-08-10 05:00:00
571,22.0,2019-08-10 06:00:00
572,23.0,2019-08-10 07:00:00
573,17.0,2019-08-10 08:00:00
574,7.0,2019-08-10 09:00:00
575,9.0,2019-08-10 10:00:00
576,5.0,2019-08-10 11:00:00
577,1.0,2019-08-10 12:00:00
578,12.0,2019-08-10 13:00:00
579,11.0,2019-08-10 14:00:00
580,9.0,2019-08-10 15:00:00
581,22.0,2019-08-10 16:00:00
582,14.0,2019-08-10 17:00:00
583,18.0,2019-08-10 18:00:00
584,18.0,2019-08-10 19:00:00
585,23.0,2019-08-10 20:00:00
586,23.0,2019-08-10 21:00:00
587,57.0,2019-08-10 22:00:00
588,66.0,2019-08-10 23:00:00
589,84.0,2019-08-11 00:00:00
590,62.0,2019-08-11 01:00:00
1821,,2019-08-11 02:00:00
591,25.0,2019-08-11 03:00:00
592,24.0,2019-08-11 04:00:00
593,13.0,2019-08-11 05:00:00
594,19.0,2019-08-11 06:00:00
595,18.0,2019-08-11 07:00:00
596,24.0,2019-08-11 08:00:00
597,18.0,2019-08-11 09:00:00
598,17.0,2019-08-11 10:00:00
599,12.0,2019-08-11 11:00:00
600,19.0,2019-08-11 12:00:00
601,19.0,2019-08-11 13:00:00
602,27.0,2019-08-11 14:00:00
603,17.0,2019-08-11 15:00:00
604,42.0,2019-08-11 16:00:00
605,52.0,2019-08-11 17:00:00
606,22.0,2019-08-11 18:00:00
607,9.0,2019-08-11 19:00:00
608,12.0,2019-08-11 20:00:00
609,14.0,2019-08-11 21:00:00
610,12.0,2019-08-11 22:00:00
611,8.0,2019-08-11 23:00:00
612,6.0,2019-08-12 00:00:00
613,7.0,2019-08-12 01:00:00
614,13.0,2019-08-12 02:00:00
615,17.0,2019-08-12 03:00:00
616,20.0,2019-08-12 04:00:00
617,8.0,2019-08-12 05:00:00
618,29.0,2019-08-12 06:00:00
619,18.0,2019-08-12 07:00:00
620,18.0,2019-08-12 08:00:00
621,8.0,2019-08-12 09:00:00
1822,,2019-08-12 10:00:00
1823,,2019-08-12 11:00:00
1824,,2019-08-12 12:00:00
1825,,2019-08-12 13:00:00
622,29.0,2019-08-12 14:00:00
623,44.0,2019-08-12 15:00:00
624,14.0,2019-08-12 16:00:00
625,9.0,2019-08-12 17:00:00
626,13.0,2019-08-12 18:00:00
627,7.0,2019-08-12 19:00:00
